358	ISW-_E_00001_SE_01_T_03_DF_01	/	NONE	NONE	NONE	NONE
359	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
360	ISW-_E_00001_SE_01_T_03_DF_01	w263	eine	eine	eine	NONE
361	ISW-_E_00001_SE_01_T_03_DF_01	w264	Kinderärztin	Kinderärztin	Kinderärztin	NONE
362	ISW-_E_00001_SE_01_T_03_DF_01	w265	uns	uns	wir	NONE
363	ISW-_E_00001_SE_01_T_03_DF_01	w266	unterrichtet	unterrichtet	unterrichten	NONE
364	ISW-_E_00001_SE_01_T_03_DF_01	w267	und	und	und	NONE
365	ISW-_E_00001_SE_01_T_03_DF_01	w268	hat	hat	haben	NONE
366	ISW-_E_00001_SE_01_T_03_DF_01	(--)	NONE	NONE	NONE	NONE
367	ISW-_E_00001_SE_01_T_03_DF_01	w269	gespottet	gespottet	spotten	NONE
368	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
369	ISW-_E_00001_SE_01_T_03_DF_01	w270	im	im	in	NONE
370	ISW-_E_00001_SE_01_T_03_DF_01	w271	Spott	Spott	Spott	NONE
371	ISW-_E_00001_SE_01_T_03_DF_01	w272	gesagt	gesagt	sagen	NONE
372	ISW-_E_00001_SE_01_T_03_DF_01	:	NONE	NONE	NONE	NONE
373	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
374	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
375	ISW-_E_00001_SE_01_T_03_DF_01	w273	Die	Die	die	NONE
376	ISW-_E_00001_SE_01_T_03_DF_01	w274	Orientalen	Orientalen	Orientale	B-NRP
377	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
378	ISW-_E_00001_SE_01_T_03_DF_01	/	NONE	NONE	NONE	NONE
379	ISW-_E_00001_SE_01_T_03_DF_01	w275	Auf	Auf	auf	NONE
380	ISW-_E_00001_SE_01_T_03_DF_01	w276	die	die	die	NONE
381	ISW-_E_00001_SE_01_T_03_DF_01	w277	Orientalen	Orientalen	Orientale	B-NRP
382	ISW-_E_00001_SE_01_T_03_DF_01	w278	hat	hat	haben	NONE
383	ISW-_E_00001_SE_01_T_03_DF_01	w279	man	man	man	NONE
384	ISW-_E_00001_SE_01_T_03_DF_01	w280	immer	immer	immer	NONE
385	ISW-_E_00001_SE_01_T_03_DF_01	w281	runtergeschaut	runtergeschaut	runtergeschaut	NONE
386	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
387	ISW-_E_00001_SE_01_T_03_DF_01	w282	ein	ein	eine	NONE
388	ISW-_E_00001_SE_01_T_03_DF_01	w283	bissel	bissel	bissel	NONE
389	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
390	ISW-_E_00001_SE_01_T_03_DF_01	w284	leider	leider	leider	NONE
391	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
392	ISW-_E_00001_SE_01_T_03_DF_01	/	NONE	NONE	NONE	NONE
393	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
394	ISW-_E_00001_SE_01_T_03_DF_01	w285	Die	Die	die	NONE
395	ISW-_E_00001_SE_01_T_03_DF_01	w286	Orientalen	Orientalen	Orientale	B-NRP
396	ISW-_E_00001_SE_01_T_03_DF_01	w287	stillen	stillen	stillen	NONE
397	ISW-_E_00001_SE_01_T_03_DF_01	w288	ihre	ihre	ihr	NONE
398	ISW-_E_00001_SE_01_T_03_DF_01	w289	Kinder	Kinder	Kind	NONE
399	ISW-_E_00001_SE_01_T_03_DF_01	w290	bis	bis	bis	NONE
400	ISW-_E_00001_SE_01_T_03_DF_01	w291	dieses	dieses	dies	NONE
401	ISW-_E_00001_SE_01_T_03_DF_01	w292	Kind	Kind	Kind	NONE
402	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
403	ISW-_E_00001_SE_01_T_03_DF_01	w293	äh	äh	äh	NONE
404	ISW-_E_00001_SE_01_T_03_DF_01	w294	den	den	die	NONE
405	ISW-_E_00001_SE_01_T_03_DF_01	w295	Spruch	Spruch	Spruch	NONE
406	ISW-_E_00001_SE_01_T_03_DF_01	w296	vorm	vorm	vorm	NONE
407	ISW-_E_00001_SE_01_T_03_DF_01	w297	Essen	Essen	Essen	NONE
408	ISW-_E_00001_SE_01_T_03_DF_01	w298	weiß	weiß	wissen	NONE
409	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
410	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
411	ISW-_E_00001_SE_01_T_03_DF_01	(--)	NONE	NONE	NONE	NONE
412	ISW-_E_00001_SE_01_T_03_DF_01	w299	Aber	Aber	aber	NONE
413	ISW-_E_00001_SE_01_T_03_DF_01	w300	das	das	die	NONE
414	ISW-_E_00001_SE_01_T_03_DF_01	w301	hat	hat	haben	NONE
415	ISW-_E_00001_SE_01_T_03_DF_01	w302	die	die	die	NONE
416	ISW-_E_00001_SE_01_T_03_DF_01	w303	nicht	nicht	nicht	NONE
417	ISW-_E_00001_SE_01_T_03_DF_01	w304	gesagt	gesagt	sagen	NONE
418	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
419	ISW-_E_00001_SE_01_T_03_DF_01	w305	als	als	als	NONE
420	ISW-_E_00001_SE_01_T_03_DF_01	w306	äh	äh	äh	NONE
421	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
422	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
423	ISW-_E_00001_SE_01_T_03_DF_01	w307	Wie	Wie	wie	NONE
424	ISW-_E_00001_SE_01_T_03_DF_01	w308	schön	schön	schön	NONE
425	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
426	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
427	ISW-_E_00001_SE_01_T_03_DF_01	w309	sondern	sondern	sondern	NONE
428	ISW-_E_00001_SE_01_T_03_DF_01	w310	gespottet	gespottet	spotten	NONE
429	ISW-_E_00001_SE_01_T_03_DF_01	w311	hat	hat	haben	NONE
430	ISW-_E_00001_SE_01_T_03_DF_01	w312	sie	sie	sie	NONE
431	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
432	ISW-_E_00001_SE_01_T_03_DF_01	w313	Und	Und	und	NONE
433	ISW-_E_00001_SE_01_T_03_DF_01	w314	dieser	dieser	dies	NONE
434	ISW-_E_00001_SE_01_T_03_DF_01	w315	Spott	Spott	Spott	NONE
435	ISW-_E_00001_SE_01_T_03_DF_01	w316	ist	ist	sein	NONE
436	ISW-_E_00001_SE_01_T_03_DF_01	w317	bei	bei	bei	NONE
437	ISW-_E_00001_SE_01_T_03_DF_01	w318	uns	uns	wir	NONE
438	ISW-_E_00001_SE_01_T_03_DF_01	w319	picken	picken	picken	NONE
439	ISW-_E_00001_SE_01_T_03_DF_01	w320	geblieben	geblieben	bleiben	NONE
440	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
441	ISW-_E_00001_SE_01_T_03_DF_01	w321	natürlich	natürlich	natürlich	NONE
442	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
443	ISW-_E_00001_SE_01_T_03_DF_01	w322	Also	Also	also	NONE
444	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
445	ISW-_E_00001_SE_01_T_03_DF_01	w323	Kinder	Kinder	Kind	NONE
446	ISW-_E_00001_SE_01_T_03_DF_01	w324	stillt	stillt	stillen	NONE
447	ISW-_E_00001_SE_01_T_03_DF_01	w325	man	man	man	NONE
448	ISW-_E_00001_SE_01_T_03_DF_01	w326	doch	doch	doch	NONE
449	ISW-_E_00001_SE_01_T_03_DF_01	w327	nicht	nicht	nicht	NONE
450	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
451	ISW-_E_00001_SE_01_T_03_DF_01	w328	bis	bis	bis	NONE
452	ISW-_E_00001_SE_01_T_03_DF_01	w329	sie	sie	sie	NONE
453	ISW-_E_00001_SE_01_T_03_DF_01	w330	reden	reden	reden	NONE
454	ISW-_E_00001_SE_01_T_03_DF_01	w331	können	können	können	NONE
455	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
456	ISW-_E_00001_SE_01_T_03_DF_01	w332	das	das	die	NONE
457	ISW-_E_00001_SE_01_T_03_DF_01	w333	ist	ist	sein	NONE
458	ISW-_E_00001_SE_01_T_03_DF_01	w334	doch	doch	doch	NONE
459	ISW-_E_00001_SE_01_T_03_DF_01	w335	ein	ein	eine	NONE
460	ISW-_E_00001_SE_01_T_03_DF_01	w336	Wahnsinn	Wahnsinn	Wahnsinn	NONE
461	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
462	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
463	ISW-_E_00001_SE_01_T_03_DF_01	w337	Man	Man	man	NONE
464	ISW-_E_00001_SE_01_T_03_DF_01	w338	hat	hat	haben	NONE
465	ISW-_E_00001_SE_01_T_03_DF_01	w339	die	die	die	NONE
466	ISW-_E_00001_SE_01_T_03_DF_01	w340	Kinder	Kinder	Kind	NONE
467	ISW-_E_00001_SE_01_T_03_DF_01	(	NONE	NONE	NONE	NONE
468	ISW-_E_00001_SE_01_T_03_DF_01	…	NONE	NONE	NONE	NONE
469	ISW-_E_00001_SE_01_T_03_DF_01	)	NONE	NONE	NONE	NONE
470	ISW-_E_00001_SE_01_T_03_DF_01	/	NONE	NONE	NONE	NONE
471	ISW-_E_00001_SE_01_T_03_DF_01	(	NONE	NONE	NONE	NONE
472	ISW-_E_00001_SE_01_T_03_DF_01	w341	Aber	Aber	aber	NONE
473	ISW-_E_00001_SE_01_T_03_DF_01	)	NONE	NONE	NONE	NONE
474	ISW-_E_00001_SE_01_T_03_DF_01	w342	viele	viele	viele	NONE
475	ISW-_E_00001_SE_01_T_03_DF_01	w343	Mütter	Mütter	Mutter	NONE
476	ISW-_E_00001_SE_01_T_03_DF_01	w344	haben	haben	haben	NONE
477	ISW-_E_00001_SE_01_T_03_DF_01	w345	überhaupt	überhaupt	überhaupt	NONE
478	ISW-_E_00001_SE_01_T_03_DF_01	w346	nicht	nicht	nicht	NONE
479	ISW-_E_00001_SE_01_T_03_DF_01	w347	gestillt	gestillt	stillen	NONE
480	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
481	ISW-_E_00001_SE_01_T_03_DF_01	w348	sehr	sehr	sehr	NONE
482	ISW-_E_00001_SE_01_T_03_DF_01	w349	viele	viele	viele	NONE
483	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
484	ISW-_E_00001_SE_01_T_03_DF_01	w350	und	und	und	NONE
485	ISW-_E_00001_SE_01_T_03_DF_01	w351	das	das	die	NONE
486	ISW-_E_00001_SE_01_T_03_DF_01	w352	ging	ging	gehen	NONE
487	ISW-_E_00001_SE_01_T_03_DF_01	w353	durch	durch	durch	NONE
488	ISW-_E_00001_SE_01_T_03_DF_01	w354	Jahre	Jahre	Jahr	B-DUR
489	ISW-_E_00001_SE_01_T_03_DF_01	w355	hindurch	hindurch	hindurch	NONE
490	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
491	ISW-_E_00001_SE_01_T_03_DF_01	w356	dass	dass	dass	NONE
492	ISW-_E_00001_SE_01_T_03_DF_01	w357	die	die	die	NONE
493	ISW-_E_00001_SE_01_T_03_DF_01	w358	Kinder	Kinder	Kind	NONE
494	ISW-_E_00001_SE_01_T_03_DF_01	w359	nicht	nicht	nicht	NONE
495	ISW-_E_00001_SE_01_T_03_DF_01	w360	gestillt	gestillt	stillen	NONE
496	ISW-_E_00001_SE_01_T_03_DF_01	w361	wurden	wurden	werden	NONE
497	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
498	ISW-_E_00001_SE_01_T_03_DF_01	w362	sondern	sondern	sondern	NONE
499	ISW-_E_00001_SE_01_T_03_DF_01	w363	man	man	man	NONE
500	ISW-_E_00001_SE_01_T_03_DF_01	w364	hat	hat	haben	NONE
501	ISW-_E_00001_SE_01_T_03_DF_01	w365	ihnen	ihnen	sie	NONE
502	ISW-_E_00001_SE_01_T_03_DF_01	w366	äh	äh	äh	NONE
503	ISW-_E_00001_SE_01_T_03_DF_01	w367	die	die	die	NONE
504	ISW-_E_00001_SE_01_T_03_DF_01	w368	verschieden	verschieden	verschieden	NONE
505	ISW-_E_00001_SE_01_T_03_DF_01	w369	äh	äh	äh	NONE
506	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
507	ISW-_E_00001_SE_01_T_03_DF_01	w370	Milchsorten	Milchsorten	Milchsorte	NONE
508	ISW-_E_00001_SE_01_T_03_DF_01	w371	eben	eben	eben	NONE
509	ISW-_E_00001_SE_01_T_03_DF_01	w372	gegeben	gegeben	geben	NONE
510	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
511	ISW-_E_00001_SE_01_T_03_DF_01	w373	Und	Und	und	NONE
512	ISW-_E_00001_SE_01_T_03_DF_01	w374	sie	sie	sie	NONE
513	ISW-_E_00001_SE_01_T_03_DF_01	w375	sind	sind	sein	NONE
514	ISW-_E_00001_SE_01_T_03_DF_01	w376	auch	auch	auch	NONE
515	ISW-_E_00001_SE_01_T_03_DF_01	w377	groß	groß	groß	NONE
516	ISW-_E_00001_SE_01_T_03_DF_01	w378	und	und	und	NONE
517	ISW-_E_00001_SE_01_T_03_DF_01	w379	stark	stark	stark	NONE
518	ISW-_E_00001_SE_01_T_03_DF_01	w380	geworden	geworden	werden	NONE
519	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
520	ISW-_E_00001_SE_01_T_03_DF_01	w381	Haben	Haben	haben	NONE
521	ISW-_E_00001_SE_01_T_03_DF_01	w382	sie	sie	sie	NONE
522	ISW-_E_00001_SE_01_T_03_DF_01	w383	immer	immer	immer	NONE
523	ISW-_E_00001_SE_01_T_03_DF_01	w384	gesagt	gesagt	sagen	NONE
524	ISW-_E_00001_SE_01_T_03_DF_01	:	NONE	NONE	NONE	NONE
525	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
526	ISW-_E_00001_SE_01_T_03_DF_01	w385	Nun	Nun	nun	B-TIME
527	ISW-_E_00001_SE_01_T_03_DF_01	w386	schau	schau	schauen	NONE
528	ISW-_E_00001_SE_01_T_03_DF_01	w387	ihn	ihn	er	NONE
529	ISW-_E_00001_SE_01_T_03_DF_01	w388	doch	doch	doch	NONE
530	ISW-_E_00001_SE_01_T_03_DF_01	w389	an	an	an	NONE
531	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
532	ISW-_E_00001_SE_01_T_03_DF_01	w390	er	er	er	NONE
533	ISW-_E_00001_SE_01_T_03_DF_01	w391	ist	ist	sein	NONE
534	ISW-_E_00001_SE_01_T_03_DF_01	w392	auch	auch	auch	NONE
535	ISW-_E_00001_SE_01_T_03_DF_01	w393	groß	groß	groß	NONE
536	ISW-_E_00001_SE_01_T_03_DF_01	w394	und	und	und	NONE
537	ISW-_E_00001_SE_01_T_03_DF_01	w395	stark	stark	stark	NONE
538	ISW-_E_00001_SE_01_T_03_DF_01	w396	geworden	geworden	werden	NONE
539	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
540	ISW-_E_00001_SE_01_T_03_DF_01	w397	Wozu	Wozu	wozu	NONE
541	ISW-_E_00001_SE_01_T_03_DF_01	?	NONE	NONE	NONE	NONE
542	ISW-_E_00001_SE_01_T_03_DF_01	w398	Wozu	Wozu	wozu	NONE
543	ISW-_E_00001_SE_01_T_03_DF_01	?	NONE	NONE	NONE	NONE
544	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
545	ISW-_E_00001_SE_01_T_03_DF_01	w399	Plötzlich	Plötzlich	plötzlich	NONE
546	ISW-_E_00001_SE_01_T_03_DF_01	w400	kommt	kommt	kommen	NONE
547	ISW-_E_00001_SE_01_T_03_DF_01	w401	da	da	da	NONE
548	ISW-_E_00001_SE_01_T_03_DF_01	w402	eine	eine	eine	NONE
549	ISW-_E_00001_SE_01_T_03_DF_01	w403	neue	neue	neu	NONE
550	ISW-_E_00001_SE_01_T_03_DF_01	w404	Geschichte	Geschichte	Geschichte	NONE
551	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
552	ISW-_E_00001_SE_01_T_03_DF_01	w405	die	die	die	NONE
553	ISW-_E_00001_SE_01_T_03_DF_01	w406	urururalt	urururalt	urururalt	NONE
554	ISW-_E_00001_SE_01_T_03_DF_01	w407	ist	ist	sein	NONE
555	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
556	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
557	ISW-_E_00001_SE_01_T_03_DF_01	w408	Und	Und	und	NONE
558	ISW-_E_00001_SE_01_T_03_DF_01	w409	so	so	so	NONE
559	ISW-_E_00001_SE_01_T_03_DF_01	w410	ist	ist	sein	NONE
560	ISW-_E_00001_SE_01_T_03_DF_01	w411	das	das	die	NONE
561	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
562	ISW-_E_00001_SE_01_T_03_DF_01	w412	mit	mit	mit	NONE
563	ISW-_E_00001_SE_01_T_03_DF_01	w413	der	der	die	NONE
564	ISW-_E_00001_SE_01_T_03_DF_01	w414	ganzen	ganzen	ganz	NONE
565	ISW-_E_00001_SE_01_T_03_DF_01	w415	Medizin	Medizin	Medizin	NONE
566	ISW-_E_00001_SE_01_T_03_DF_01	w416	und	und	und	NONE
567	ISW-_E_00001_SE_01_T_03_DF_01	w417	auch	auch	auch	NONE
568	ISW-_E_00001_SE_01_T_03_DF_01	w418	mit	mit	mit	NONE
569	ISW-_E_00001_SE_01_T_03_DF_01	w419	der	der	die	NONE
570	ISW-_E_00001_SE_01_T_03_DF_01	w420	Säuglingspflege	Säuglingspflege	Säuglingspflege	NONE
571	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
572	ISW-_E_00001_SE_01_T_03_DF_01	w421	ganz	ganz	ganz	NONE
573	ISW-_E_00001_SE_01_T_03_DF_01	w422	bestimmt	bestimmt	bestimmen	NONE
574	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
575	ISW-_E_00001_SE_01_T_03_DF_01	w423	Man	Man	man	NONE
576	ISW-_E_00001_SE_01_T_03_DF_01	w424	hat	hat	haben	NONE
577	ISW-_E_00001_SE_01_T_03_DF_01	w425	die	die	die	NONE
578	ISW-_E_00001_SE_01_T_03_DF_01	w426	Kinder	Kinder	Kind	NONE
579	ISW-_E_00001_SE_01_T_03_DF_01	/	NONE	NONE	NONE	NONE
580	ISW-_E_00001_SE_01_T_03_DF_01	w427	Meine	Meine	mein	NONE
581	ISW-_E_00001_SE_01_T_03_DF_01	w428	Kinder	Kinder	Kind	NONE
582	ISW-_E_00001_SE_01_T_03_DF_01	w429	noch	noch	noch	NONE
583	ISW-_E_00001_SE_01_T_03_DF_01	w430	mussten	mussten	müssen	NONE
584	ISW-_E_00001_SE_01_T_03_DF_01	w431	unter	unter	unter	NONE
585	ISW-_E_00001_SE_01_T_03_DF_01	w432	Umständen	Umständen	Umstand	NONE
586	ISW-_E_00001_SE_01_T_03_DF_01	w433	eine	eine	eine	NONE
587	ISW-_E_00001_SE_01_T_03_DF_01	w434	ganze	ganze	ganz	NONE
588	ISW-_E_00001_SE_01_T_03_DF_01	w435	Stunde	Stunde	Stunde	B-DUR
589	ISW-_E_00001_SE_01_T_03_DF_01	w436	schreien	schreien	schreien	NONE
590	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
591	ISW-_E_00001_SE_01_T_03_DF_01	w437	bis	bis	bis	NONE
592	ISW-_E_00001_SE_01_T_03_DF_01	w438	sie	sie	sie	NONE
593	ISW-_E_00001_SE_01_T_03_DF_01	w439	wieder	wieder	wieder	NONE
594	ISW-_E_00001_SE_01_T_03_DF_01	w440	gekriegt	gekriegt	kriegen	NONE
595	ISW-_E_00001_SE_01_T_03_DF_01	w441	haben	haben	haben	NONE
596	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
597	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
598	ISW-_E_00001_SE_01_T_03_DF_01	w442	Das	Das	die	NONE
599	ISW-_E_00001_SE_01_T_03_DF_01	w443	ist	ist	sein	NONE
600	ISW-_E_00001_SE_01_T_03_DF_01	w444	doch	doch	doch	NONE
601	ISW-_E_00001_SE_01_T_03_DF_01	w445	ein	ein	eine	NONE
602	ISW-_E_00001_SE_01_T_03_DF_01	w446	Wahnsinn	Wahnsinn	Wahnsinn	NONE
603	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
604	ISW-_E_00001_SE_01_T_03_DF_01	w447	Warum	Warum	warum	NONE
605	ISW-_E_00001_SE_01_T_03_DF_01	w448	müssen	müssen	müssen	NONE
606	ISW-_E_00001_SE_01_T_03_DF_01	w449	die	die	die	NONE
607	ISW-_E_00001_SE_01_T_03_DF_01	w450	schreien	schreien	schreien	NONE
608	ISW-_E_00001_SE_01_T_03_DF_01	?	NONE	NONE	NONE	NONE
609	ISW-_E_00001_SE_01_T_03_DF_01	w451	Die	Die	die	NONE
610	ISW-_E_00001_SE_01_T_03_DF_01	w452	schreien	schreien	schreien	NONE
611	ISW-_E_00001_SE_01_T_03_DF_01	w453	doch	doch	doch	NONE
612	ISW-_E_00001_SE_01_T_03_DF_01	w454	nicht	nicht	nicht	NONE
613	ISW-_E_00001_SE_01_T_03_DF_01	w455	ohne	ohne	ohne	NONE
614	ISW-_E_00001_SE_01_T_03_DF_01	w456	Grund	Grund	Grund	NONE
615	ISW-_E_00001_SE_01_T_03_DF_01	.	NONE	NONE	NONE	NONE
616	ISW-_E_00001_SE_01_T_03_DF_01	(3)	NONE	NONE	NONE	NONE
617	ISW-_E_00001_SE_01_T_03_DF_01	w457	Naja	Naja	Naja	NONE
618	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
619	ISW-_E_00001_SE_01_T_03_DF_01	w458	und	und	und	NONE
620	ISW-_E_00001_SE_01_T_03_DF_01	w459	ich	ich	ich	NONE
621	ISW-_E_00001_SE_01_T_03_DF_01	w460	war	war	sein	NONE
622	ISW-_E_00001_SE_01_T_03_DF_01	w461	in	in	in	NONE
623	ISW-_E_00001_SE_01_T_03_DF_01	w462	Ecuador	Ecuador	Ecuador	B-GPE
624	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
625	ISW-_E_00001_SE_01_T_03_DF_01	w463	wie	wie	wie	NONE
626	ISW-_E_00001_SE_01_T_03_DF_01	w464	die	die	die	NONE
627	ISW-_E_00001_SE_01_T_03_DF_01	w465	geboren	geboren	gebären	NONE
628	ISW-_E_00001_SE_01_T_03_DF_01	w466	wurden	wurden	werden	NONE
629	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
630	ISW-_E_00001_SE_01_T_03_DF_01	w467	die	die	die	NONE
631	ISW-_E_00001_SE_01_T_03_DF_01	w468	beiden	beiden	beide	NONE
632	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
633	ISW-_E_00001_SE_01_T_03_DF_01	w469	und	und	und	NONE
634	ISW-_E_00001_SE_01_T_03_DF_01	w470	hab	hab	haben	NONE
635	ISW-_E_00001_SE_01_T_03_DF_01	w471	immer	immer	immer	NONE
636	ISW-_E_00001_SE_01_T_03_DF_01	w472	gesagt	gesagt	sagen	NONE
637	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
638	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
639	ISW-_E_00001_SE_01_T_03_DF_01	w473	Na	Na	na	NONE
640	ISW-_E_00001_SE_01_T_03_DF_01	w474	gut	gut	gut	NONE
641	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
642	ISW-_E_00001_SE_01_T_03_DF_01	(-)	NONE	NONE	NONE	NONE
643	ISW-_E_00001_SE_01_T_03_DF_01	w475	das	das	die	NONE
644	ISW-_E_00001_SE_01_T_03_DF_01	w476	ist	ist	sein	NONE
645	ISW-_E_00001_SE_01_T_03_DF_01	w477	ein	ein	eine	NONE
646	ISW-_E_00001_SE_01_T_03_DF_01	w478	verrücktes	verrücktes	verrückt	NONE
647	ISW-_E_00001_SE_01_T_03_DF_01	w479	Land	Land	Land	NONE
648	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
649	ISW-_E_00001_SE_01_T_03_DF_01	w480	das	das	die	NONE
650	ISW-_E_00001_SE_01_T_03_DF_01	w481	ist	ist	sein	NONE
651	ISW-_E_00001_SE_01_T_03_DF_01	w482	ein	ein	eine	NONE
652	ISW-_E_00001_SE_01_T_03_DF_01	w483	komisches	komisches	komisch	NONE
653	ISW-_E_00001_SE_01_T_03_DF_01	w484	Land	Land	Land	NONE
654	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
655	ISW-_E_00001_SE_01_T_03_DF_01	w485	ein	ein	eine	NONE
656	ISW-_E_00001_SE_01_T_03_DF_01	w486	verrücktes	verrücktes	verrückt	NONE
657	ISW-_E_00001_SE_01_T_03_DF_01	w487	Land	Land	Land	NONE
658	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
659	ISW-_E_00001_SE_01_T_03_DF_01	w488	ein	ein	eine	NONE
660	ISW-_E_00001_SE_01_T_03_DF_01	w489	ein	ein	eine	NONE
661	ISW-_E_00001_SE_01_T_03_DF_01	w490	primitives	primitives	primitiv	NONE
662	ISW-_E_00001_SE_01_T_03_DF_01	w491	Land	Land	Land	NONE
663	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
664	ISW-_E_00001_SE_01_T_03_DF_01	w492	und	und	und	NONE
665	ISW-_E_00001_SE_01_T_03_DF_01	w493	und	und	und	NONE
666	ISW-_E_00001_SE_01_T_03_DF_01	""""""""""	NONE	NONE	NONE	NONE
667	ISW-_E_00001_SE_01_T_03_DF_01	/	NONE	NONE	NONE	NONE
668	ISW-_E_00001_SE_01_T_03_DF_01	w494	Also	Also	also	NONE
669	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
670	ISW-_E_00001_SE_01_T_03_DF_01	w495	Säuglingsschwester	Säuglingsschwester	Säuglingsschwester	NONE
671	ISW-_E_00001_SE_01_T_03_DF_01	w496	war	war	sein	NONE
672	ISW-_E_00001_SE_01_T_03_DF_01	w497	ich	ich	ich	NONE
673	ISW-_E_00001_SE_01_T_03_DF_01	w498	gern	gern	gern	NONE
674	ISW-_E_00001_SE_01_T_03_DF_01	,	NONE	NONE	NONE	NONE
675	ISW-_E_00001_SE_01_T_03_DF_01	w499	und	und	und	NONE
